№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
135,MOF#135,130,0.91968492,13.21212121212121,0.908256880733945,26.51,4.36,2555.6,1.46968492,104.4,0.5499999999999999,Fe,BDC,ДМФА,0.8087,0.499,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.002001732673267327,0.0030426829268292684,0.6578838687833409,29.67725976298101,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,6.4078262512,0.010373297855685408,2778.777754908955,0.32999999997502305,11142.416000000001,0.8353101566972477,5.80605913894931,-4.360000000426937,1.9285679170944984e-05
136,MOF#136,130,0.54882744,15.45454545454545,0.7764705882352941,15.82,5.1,1416.5,0.77882744,32.5,0.23,Fe,BDC,ДМФА,0.809,0.499,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.0020024752475247525,0.0030426829268292684,0.6581279211644897,29.66625459868201,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,3.972019944,0.011168372749727378,2580.95695328033,0.32999999997864715,7224.15,0.42614836517647064,7.8258417195697,-5.100000000316747,1.4095080613918498e-05
137,MOF#137,130,0.38646888,15.78787878787879,0.7600767754318618,11.14,5.21,1014.1,0.61646888,58.4,0.23,Fe,BDC,ДМФА,0.8092,0.5,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.002002970297029703,0.003048780487804878,0.6569740419382568,29.658922355834253,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,3.2118028648,0.01098510994969827,2624.0146357346684,0.32999999997909785,5283.461,0.29374602011516315,8.180941712971956,-5.210000000302999,1.350617801909156e-05
138,MOF#138,130,0.29731044,14.54545454545454,0.8250000000000001,8.57,4.8,791.0,0.50731044,57.0,0.21,Fe,BDC,ДМФА,0.8083,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.0020007425742574257,0.0030365853658536586,0.6588788636989642,29.691946022897508,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,2.435090112,0.01083438685207227,2660.5187404097924,0.3299999999773126,3796.7999999999997,0.24528111300000002,6.933785610042104,-4.800000000357499,1.5912024599306034e-05
139,MOF#139,130,0.5595819599999999,14.78787878787879,0.8114754098360656,16.13,4.88,1428.5,0.8195819599999999,65.6,0.26,Fe,BDC,ДМФА,0.8076,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.001999009900990099,0.0030365853658536586,0.6583082646582747,29.71768198400485,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,3.9995599647999995,0.011291564578221006,2552.798516676988,0.32999999997768437,6971.08,0.4540870003278688,7.16121285844565,-4.880000000346145,1.539459515116961e-05
142,MOF#142,130,0.2185596,15.24242424242424,0.7872763419483102,6.3,5.03,570.0,0.3885596,33.3,0.17,Fe,BDC,ДМФА,0.808,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.002,0.0030365853658536586,0.6586343212529545,29.7029702602686,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,1.954454788,0.011052631578927977,2607.984263294844,0.32999999997834994,2867.1000000000004,0.1720668023856859,7.607937008118169,-5.03000000032582,1.4490118800833888e-05
143,MOF#143,130,0.38057124,15.06060606060606,0.7967806841046279,10.97,4.97,951.7,0.53057124,31.49,0.15,Fe,BDC,ДМФА,0.8075,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.001998762376237624,0.0030365853658536586,0.6582267505096049,29.721362192295526,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,2.6369390628,0.011526741620246373,2500.7144457350105,0.3299999999780885,4729.949,0.3032318129577465,7.425997145908546,-4.970000000333803,1.4842092667393347e-05
144,MOF#144,130,0.6386797200000001,14.27272727272727,0.8407643312101911,18.41,4.71,1699.7,0.90867972,48.4,0.27,Fe,BDC,ДМФА,0.8094,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.0020034653465346537,0.0030365853658536586,0.6597755193343334,29.651593736531265,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.2798814811999994,0.010831323174671512,2661.27128216742,0.32999999997687907,8005.587,0.5369791276433121,6.686551811522932,-4.710000000370717,1.6525937350084438e-05
144,MOF-144,200,0.161005572,20.46666666666667,0.5863192182410424,4.641,6.754,384.126,0.231005572,36.61,0.0699999999999999,Fe,BDC,ДМФА,0.8094,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.0020034653465346537,0.0030365853658536586,0.6597755193343334,29.651593736531265,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,1.5602116332879998,0.012081973102544266,2385.7931923884394,0.3299999999838762,2594.3870039999997,0.09440066110749187,15.251601410099397,-6.754000000162528,8.036848907269799e-06
146,MOF#146,130,0.27510756,16.66666666666666,0.7200000000000001,7.93,5.5,694.9,0.4251075599999999,34.8,0.1499999999999999,Fe,BDC,ДМФА/Этанол,0.8192,0.5074,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,404,164,0.002027722772277228,0.00309390243902439,0.6553930373847207,29.29687496423721,55.845,0.8525,1.83,59.582,-0.14850000000000005,0.5,1.0,2.3380915799999995,0.011411713915654898,2525.921125083145,0.32999999998020013,3821.95,0.1980774432,9.19627452689516,-5.500000000269546,1.2119439562579524e-05
